2026-09-12 08:38:05 -03:00: Server is running TS on port 3000
2026-09-12 08:47:17 -03:00: POST /auth/simular 200 563 - 21.558 ms
2026-09-12 08:47:35 -03:00: GET /parametros/boname/listar/* 200 1640 - 45.552 ms
2026-09-12 08:47:56 -03:00: POST /auth/simular 200 563 - 1.163 ms
2026-09-12 08:54:55 -03:00: POST /auth/simular 200 563 - 1.872 ms
2026-09-12 08:54:57 -03:00: POST /auth/simular 200 563 - 1.141 ms
2026-09-12 08:55:25 -03:00: POST /auth/simular 200 563 - 1.234 ms
2026-09-12 09:31:55 -03:00: POST /auth/simular 200 563 - 1.713 ms
2026-09-12 09:32:19 -03:00: POST /auth/simular 200 563 - 1.625 ms
2026-09-12 09:32:28 -03:00: POST /auth/simular 200 563 - 0.751 ms
2026-09-12 09:38:36 -03:00: GET /parametros/boname/listar/* 200 1640 - 4.955 ms
2026-09-12 09:38:38 -03:00: GET /parametros/boname/imprimir/* 200 27859 - 143.209 ms
2026-09-12 09:39:10 -03:00: Server is running TS on port 3000
2026-09-12 09:39:16 -03:00: GET /parametros/boname/imprimir/* 200 287955 - 282.962 ms
2026-09-12 09:40:25 -03:00: GET /parametros/medicamentos/listar/* 200 63104 - 14.805 ms
2026-09-12 09:40:25 -03:00: GET /parametros/tipos_medicamentos/listar/* 200 515 - 17.311 ms
2026-09-12 09:40:25 -03:00: GET /parametros/depositos/listar-ativos/* 200 191 - 20.608 ms
2026-09-12 09:40:38 -03:00: GET /estoque/listar/*/2/FT 200 808 - 48.010 ms
2026-09-12 09:40:38 -03:00: GET /estoque/listar/*/2/FT 200 808 - 3.724 ms
2026-09-12 09:40:42 -03:00: GET /estoque/listar/*/2/FT 200 808 - 3.718 ms
2026-09-12 09:40:45 -03:00: GET /estoque/listar/*/2/FT 200 808 - 3.536 ms
2026-09-12 09:40:45 -03:00: GET /estoque/listar/*/2/FT 200 808 - 3.318 ms
2026-09-12 09:40:47 -03:00: GET /estoque/listar/*/2/FT 200 808 - 3.744 ms
2026-09-12 09:40:49 -03:00: POST /solicitacoes/salvar 200 91 - 27.604 ms
2026-09-12 09:40:52 -03:00: GET /solicitacoes/imprimir/4 200 152306 - 109.685 ms
